Index,Site_Id,Latitude(degrees),Longitude(degrees)
5,CA-ARF,-83.955,52.7008
19,CA-Ca2,-125.2909,49.8705
47,CA-Cbo,-79.9333,44.3167
63,CA-Cha,-67.3569,45.8847
65,CA-DB2,-122.9951,49.119
67,CA-DBB,-122.9849,49.1293
74,CA-ER1,-80.4123,43.6405
81,CA-LP1,-122.8414,55.1119
95,CA-MA2,-97.8762,50.171
98,CA-MA3,-97.8686,50.1774
101,CA-Man,-98.4808,55.8796
108,CA-Na1,-67.1,46.4722
111,CA-Oas,-106.1978,53.6289
120,CA-Obs,-105.1178,53.9872
129,CA-SF1,-105.8176,54.485
133,CA-SF2,-105.8775,54.2539
137,CA-SF3,-106.0053,54.0916
142,CA-TP1,-80.5595,42.6609
158,CA-TP2,-80.4588,42.7744
164,CA-TP3,-80.3483,42.7068
180,CA-TP4,-80.3574,42.7102
195,MX-Aog,-108.7892,26.9968
208,US-A10,-156.6149,71.3242
218,US-A32,-97.8198,36.8193
221,US-A74,-97.5489,36.8085
223,US-Akn,-81.5653,33.3825
226,US-ALQ,-89.6067,46.0308
237,US-AR2,-99.5975,36.6358
241,US-ARM,-97.4888,36.6058
260,US-ASH,-120.201,36.1697
264,US-ASM,-120.2026,36.1777
266,US-Bar,-71.2881,44.0646
280,US-Bi1,-121.4993,38.0992
291,US-Blo,-120.6328,38.8953
297,US-BMM,-110.7776,45.783
300,US-Bo1,-88.2904,40.0062
307,US-Bo2,-88.29,40.009
311,US-BRG,-86.5406,39.2167
318,US-BZF,-148.3121,64.7013
321,US-BZS,-148.3235,64.6963
323,US-Ced,-74.3791,39.8379
333,US-CF1,-117.0821,46.7815
343,US-CF3,-117.1261,46.7551
348,US-CF4,-117.1285,46.7518
353,US-CPk,-106.1187,41.068
358,US-CRT,-83.3471,41.6285
361,US-CS1,-89.5379,44.1031
363,US-CS2,-89.5002,44.1467
366,US-CS3,-89.5727,44.1394
368,US-CS4,-89.5475,44.1597
377,US-Dix,-74.4346,39.9712
381,US-Dk1,-79.0934,35.9712
383,US-Dk2,-79.1004,35.9736
390,US-Dk3,-79.0942,35.9782
397,US-DPW,-81.4361,28.0521
408,US-EML,-149.2536,63.8784
420,US-Esm,-80.5946,25.4379
426,US-Fcr,-148.9348,65.3968
430,US-Fmf,-111.7273,35.1426
436,US-Fuf,-111.762,35.089
442,US-Fwf,-111.7718,35.4454
467,US-Ha2,-72.1779,42.5393
483,US-Hn2,-119.4641,46.6889
486,US-Hn3,-119.4614,46.6878
488,US-Ho1,-68.7402,45.2041
507,US-Ho2,-68.747,45.2091
520,US-Ho3,-68.725,45.2072
526,US-HRA,-91.7517,34.5852
529,US-HRC,-91.7517,34.5888
532,US-HWB,-77.8488,40.8608
536,US-ICh,-149.2958,68.6068
550,US-ICs,-149.311,68.6058
564,US-ICt,-149.3041,68.6063
578,US-Jo1,-106.635,32.582
598,US-JRn,-80.1646,39.6789
600,US-KFS,-95.1907,39.0561
624,US-KL2,-85.4468,42.4768
636,US-KL3,-85.4473,42.4735
656,US-KM1,-85.3287,42.4376
680,US-KM3,-85.3105,42.4464
692,US-KM4,-85.3301,42.4423
704,US-Kon,-96.5603,39.0824
720,US-KS1,-80.6709,28.4583
721,US-KS2,-80.6715,28.6086
