Index,Site_Id,Latitude(degrees),Longitude(degrees)
529,US-HRC,-91.7517,34.5888
532,US-HWB,-77.8488,40.8608
550,US-ICs,-149.311,68.6058
564,US-ICt,-149.3041,68.6063
588,US-Jo2,-106.6032,32.5849
598,US-JRn,-80.1646,39.6789
600,US-KFS,-95.1907,39.0561
612,US-KL1,-85.4422,42.4847
624,US-KL2,-85.4468,42.4768
636,US-KL3,-85.4473,42.4735
648,US-KLS,-97.5684,38.7745
668,US-KM2,-85.3098,42.4441
680,US-KM3,-85.3105,42.4464
721,US-KS2,-80.6715,28.6086
725,US-KUT,-93.1863,44.995
742,US-LL2,-84.4449,31.201
751,US-LL3,-84.4787,31.2688
760,US-Los,-89.9792,46.0827
768,US-LS1,-110.1403,31.5615
773,US-LS2,-110.1344,31.5659
778,US-MC1,-114.1548,48.1873
779,US-Me2,-121.5574,44.4523
799,US-Me6,-121.6078,44.3233
811,US-MH1,-108.2414,45.9206
812,US-MH2,-108.1978,45.9699
815,US-Mj2,-109.6295,46.9957
832,US-Mpj,-106.2377,34.4385
846,US-MSR,-111.7207,47.4758
847,US-MtB,-110.7256,32.416
859,US-MVW,-111.4889,47.6729
860,US-Myb,-121.765,38.0499
872,US-NC1,-76.7119,35.8118
880,US-NC2,-76.6685,35.803
896,US-NC3,-76.656,35.799
923,US-NGC,-163.7002,64.8618
926,US-NR1,-105.5464,40.0329
946,US-NR3,-105.5864,40.052
948,US-NR4,-105.5859,40.052
960,US-Oho,-83.8438,41.5545
970,US-ONA,-81.9509,27.3836
975,US-OWC,-82.5125,41.3795
977,US-PFb,-90.3232,45.972
978,US-PFc,-90.3088,45.9677
979,US-PFd,-90.301,45.9689
980,US-PFg,-90.2723,45.9735
981,US-PFh,-90.2406,45.9557
982,US-PFi,-90.2327,45.9749
983,US-PFj,-90.227,45.9619
984,US-PFk,-90.3425,45.9149
985,US-PFL,-90.3177,45.9409
986,US-PFm,-90.3099,45.9207
987,US-PFn,-90.2823,45.9392
989,US-PFq,-90.2475,45.9271
991,US-PHM,-70.8301,42.7423
999,US-Prr,-147.4876,65.1237
1006,US-PSH,-119.9247,36.2347
1008,US-PSL,-120.1397,36.8276
1010,US-Rls,-116.7356,43.1439
1024,US-Ro1,-93.0898,44.7143
1037,US-Ro2,-93.0888,44.7288
1043,US-Ro4,-93.0723,44.6781
1051,US-Ro5,-93.0576,44.691
1056,US-Ro6,-93.0578,44.6946
1061,US-Rpf,-147.429,65.1198
1074,US-Rwe,-116.7591,43.0653
1079,US-Rwf,-116.7231,43.1207
1086,US-Rws,-116.7132,43.1675
1093,US-SdH,-101.4072,42.0693
1099,US-Seg,-106.702,34.3623
1113,US-Ses,-106.7442,34.3349
1128,US-Slt,-74.596,39.9138
1146,US-Sne,-121.7547,38.0369
1151,US-Snf,-121.7272,38.0402
1154,US-SP1,-82.2188,29.7381
1171,US-SP3,-82.1633,29.7548
1180,US-SRC,-110.8395,31.9083
1187,US-SRG,-110.8277,31.7894
1201,US-SRM,-110.8661,31.8214
1219,US-Srr,-122.0264,38.2006
1231,US-StJ,-75.4372,39.0882
1234,US-Syv,-89.3477,46.242
1249,US-Ton,-120.966,38.4309
1268,US-Tw1,-121.6469,38.1074
1294,US-Tw5,-121.6426,38.1072
1306,US-Uaf,-147.8555,64.8663
1324,US-UiA,-88.1961,40.0646
1325,US-UMB,-84.7138,45.5598
1340,US-UMd,-84.6975,45.5625
1355,US-Var,-120.9508,38.4133
1374,US-Vcm,-106.5321,35.8884
1389,US-Vcp,-106.5967,35.8642
1403,US-Vcs,-106.6142,35.9193
1406,US-WCr,-90.0799,45.8059
1434,US-Wi2,-91.1528,46.6869
1435,US-Wi3,-91.0987,46.6347
1438,US-Wi4,-91.1663,46.7393
1443,US-Wi6,-91.2982,46.6249
1445,US-Wi7,-91.0693,46.6491
1447,US-Wi9,-91.0746,46.7385
1449,US-Wjs,-105.8615,34.4255
1485,US-WPT,-82.9962,41.4646
1488,US-Wrc,-121.9519,45.8205
1502,US-xAB,-122.3303,45.7624
1507,US-xAE,-99.0588,35.4106
1515,US-xBL,-78.0716,39.0603
1520,US-xBN,-147.5026,65.154
1525,US-xBR,-71.2873,44.0639
1530,US-xCL,-97.57,33.4012
1534,US-xCP,-104.7456,40.8155
1539,US-xDC,-99.1066,47.1617
1544,US-xDJ,-145.7514,63.8811
1549,US-xDL,-87.8039,32.5417
1554,US-xDS,-81.4362,28.125
1563,US-xHA,-72.1727,42.5369
1568,US-xHE,-149.2133,63.8757
1573,US-xJE,-84.4686,31.1948
1578,US-xJR,-106.8425,32.5907
1583,US-xKA,-96.6129,39.1104
1588,US-xKZ,-96.5631,39.1008
1593,US-xLE,-88.1612,31.8539
1597,US-xMB,-109.3883,38.2483
1604,US-xNG,-100.9154,46.7697
1609,US-xNQ,-112.4524,40.1776
1613,US-xNW,-105.5824,40.0543
1617,US-xRM,-105.5459,40.2759
1624,US-xSB,-81.9934,29.6893
1627,US-xSE,-76.56,38.8901
1635,US-xSL,-103.0293,40.4619
1640,US-xSR,-110.8355,31.9107
1645,US-xST,-89.5864,45.5089
1655,US-xTL,-149.3705,68.6611
1660,US-xTR,-89.5857,45.4937
1665,US-xUK,-95.1921,39.0404
1675,US-xWD,-99.2414,47.1282
1680,US-xWR,-121.9519,45.8205
