Index,Site_Id,Latitude(degrees),Longitude(degrees)
0,CA-ARB,-83.9452,52.695
10,CA-Ca1,-125.3336,49.8673
19,CA-Ca2,-125.2909,49.8705
28,CA-Ca3,-124.9004,49.5346
47,CA-Cbo,-79.9333,44.3167
63,CA-Cha,-67.3569,45.8847
65,CA-DB2,-122.9951,49.119
67,CA-DBB,-122.9849,49.1293
74,CA-ER1,-80.4123,43.6405
81,CA-LP1,-122.8414,55.1119
92,CA-MA1,-97.8762,50.1645
95,CA-MA2,-97.8762,50.171
98,CA-MA3,-97.8686,50.1774
108,CA-Na1,-67.1,46.4722
111,CA-Oas,-106.1978,53.6289
120,CA-Obs,-105.1178,53.9872
129,CA-SF1,-105.8176,54.485
133,CA-SF2,-105.8775,54.2539
158,CA-TP2,-80.4588,42.7744
164,CA-TP3,-80.3483,42.7068
180,CA-TP4,-80.3574,42.7102
195,MX-Aog,-108.7892,26.9968
198,MX-Tes,-109.2977,27.8446
203,US-A03,-149.8823,70.4953
208,US-A10,-156.6149,71.3242
218,US-A32,-97.8198,36.8193
221,US-A74,-97.5489,36.8085
223,US-Akn,-81.5653,33.3825
226,US-ALQ,-89.6067,46.0308
233,US-AR1,-99.42,36.4267
237,US-AR2,-99.5975,36.6358
241,US-ARM,-97.4888,36.6058
260,US-ASH,-120.201,36.1697
262,US-ASL,-120.1024,36.9466
266,US-Bar,-71.2881,44.0646
280,US-Bi1,-121.4993,38.0992
286,US-Bi2,-121.5351,38.1091
291,US-Blo,-120.6328,38.8953
297,US-BMM,-110.7776,45.783
307,US-Bo2,-88.29,40.009
311,US-BRG,-86.5406,39.2167
315,US-BZB,-148.3208,64.6955
318,US-BZF,-148.3121,64.7013
321,US-BZS,-148.3235,64.6963
323,US-Ced,-74.3791,39.8379
338,US-CF2,-117.0908,46.784
348,US-CF4,-117.1285,46.7518
358,US-CRT,-83.3471,41.6285
361,US-CS1,-89.5379,44.1031
368,US-CS4,-89.5475,44.1597
369,US-DFC,-89.7117,43.3448
372,US-DFK,-89.7154,43.3453
374,US-Dia,-121.5296,37.6773
377,US-Dix,-74.4346,39.9712
381,US-Dk1,-79.0934,35.9712
383,US-Dk2,-79.1004,35.9736
390,US-Dk3,-79.0942,35.9782
402,US-Elm,-80.7826,25.5519
408,US-EML,-149.2536,63.8784
426,US-Fcr,-148.9348,65.3968
430,US-Fmf,-111.7273,35.1426
442,US-Fwf,-111.7718,35.4454
448,US-GBT,-106.2397,41.3658
450,US-GLE,-106.2399,41.3665
467,US-Ha2,-72.1779,42.5393
478,US-HBK,-71.7181,43.9397
483,US-Hn2,-119.4641,46.6889
486,US-Hn3,-119.4614,46.6878
488,US-Ho1,-68.7402,45.2041
507,US-Ho2,-68.747,45.2091
526,US-HRA,-91.7517,34.5852
