mean_pre,std_pre
0.0935592926784172,0.1053730406661174
0.2451344618734738,0.0889661126822978
0.0570829766745885,0.102730024142008
0.0857159388197665,0.1015151963104756
0.2642084353163607,0.0658213060045266
0.2081452213881942,0.0835191710970069
0.1250009952857629,0.0777410898985109
0.4466940094859717,0.2205462656471144
1.157870008139852,0.9673113004196072
184.53812314401225,95.69442020135904
10.586940836127416,10.896786950655647
18.643467712295685,8.165538073318473
58.94361855886286,20.8416739568476
197.6800203834524,70.17320381366012
547.2789939954498,176.95695668753402
