,mean,std,max,min
0,-103.0474094814103,21.255886427612438,-67.1,-163.7002
1,42.04829044226395,9.644983017087604,71.3242,25.4379
2,2012.889375204891,5.173836789413499,2021.0,2002.0
3,186.02968195934466,104.83085855292732,366.0,1.0
4,6.617107479173079,3.4301273817714777,12.0,1.0
5,-0.1834424538726008,1.2803890907887676,3.30766416,-3.65332572
6,2.5442588221971634,2.5481900267870894,11.548076471999998,1.922400000000124e-06
7,2.3608090457769806,2.0695646455375396,8.968682880000001,4.9493676807106874e-18
8,178.94167729973623,98.49999561345106,435.9170020833333,0.0
9,319.3931071621974,122.01610769338703,498.000265,0.0
10,10.477665442262172,10.540130993116074,36.610625,-43.890458333333335
11,6.614474037078467,6.38270667776513,40.79191172916666,0.0
12,-5.856816562477008,37.26389933259596,183.317734224,-359.50160836799995
13,inf,,inf,-84.18895389741598
14,inf,,inf,0.0667404455039999
15,786.7640820766787,422.60286990529215,2452.0,110.0
16,9.48248977022104,7.164234816288375,33.9,-12.0
17,42.04829044226395,9.644983017087604,71.3242,25.4379
18,-103.0474094814103,21.255886427612438,-67.1,-163.7002
19,735.0446399667358,859.2112396904262,3513.0,-7.0
