SITE_ID,Latitude,Longitude,Start Year,End Year
1,-35.9244,-61.1855,2018,2023
2,-54.9733,-66.7335,2016,2018
3,-7.9682,-38.3842,2014,2015
4,-16.498,-56.412,2013,2017
5,52.695,-83.9452,2011,2015
6,52.7008,-83.955,2011,2015
7,50.5244,-63.2064,2018,2020
8,49.8673,-125.3336,1996,2010
9,49.8705,-125.2909,1999,2010
10,44.3167,-79.9333,1994,2020
11,58.6658,-93.83,2007,2008
12,49.119,-122.9951,2019,2020
13,49.1293,-122.9849,2014,2020
14,50.3623,-100.2024,2021,2023
15,43.6405,-80.4123,2015,2021
16,48.2167,-82.1556,2003,2014
17,68.3203,-133.5188,2018,2018
18,55.1119,-122.8414,2007,2022
19,50.1645,-97.8762,2009,2011
20,50.171,-97.8762,2009,2011
21,50.1774,-97.8686,2009,2011
22,55.8792,-98.4839,2001,2005
23,55.9058,-98.5247,2001,2005
24,55.9117,-98.3822,2001,2005
25,55.9144,-98.3806,2001,2005
26,55.8631,-98.485,2001,2005
27,55.9167,-98.9644,2001,2005
28,56.6358,-99.9483,2001,2005
29,49.7598,-74.5711,2007,2010
30,49.6925,-74.3421,2003,2010
31,61.3089,-121.2984,2014,2019
32,61.3079,-121.2992,2013,2016
33,54.485,-105.8176,2003,2006
34,54.2539,-105.8775,2001,2006
35,42.6609,-80.5595,2002,2017
36,42.7068,-80.3483,2002,2017
37,42.6353,-80.5577,2012,2017
38,-41.883,-73.676,2014,2022
39,27.8446,-109.2977,2004,2008
40,-3.8344,-73.319,2018,2019
41,36.8193,-97.8198,2015,2017
42,36.8085,-97.5489,2015,2017
43,33.3825,-81.5653,2011,2022
44,46.0308,-89.6067,2015,2024
45,36.4267,-99.42,2009,2012
46,36.6358,-99.5975,2009,2012
47,35.5497,-98.0402,2005,2006
48,35.5465,-98.04,2005,2006
49,36.6058,-97.4888,2003,2024
50,36.1697,-120.201,2016,2017
51,36.1777,-120.2026,2016,2017
52,44.0646,-71.2881,2004,2022
53,38.0992,-121.4993,2016,2024
54,38.1091,-121.5351,2017,2024
55,39.2167,-86.5406,2016,2020
56,64.6955,-148.3208,2011,2022
57,64.7013,-148.3121,2011,2022
58,64.6936,-148.33,2018,2022
59,64.6963,-148.3235,2010,2021
60,37.5241,-109.7471,2019,2023
61,46.7815,-117.0821,2017,2021
62,46.784,-117.0908,2017,2021
63,46.7551,-117.1261,2017,2021
64,46.7518,-117.1285,2017,2021
65,37.938,-121.9761,2019,2022
66,38.09,-109.39,2001,2007
67,41.6285,-83.3471,2011,2013
68,44.1031,-89.5379,2018,2019
69,44.1467,-89.5002,2018,2022
70,44.1394,-89.5727,2019,2020
71,44.1597,-89.5475,2020,2021
72,44.1095,-89.5377,2021,2021
73,44.4297,-89.544,2022,2023
74,44.4338,-89.5364,2023,2023
75,33.0442,-91.9204,2013,2017
76,43.3448,-89.7117,2018,2022
77,38.0015,-121.6691,2021,2024
78,38.1235,-121.549,2021,2023
79,37.6156,-122.114,2018,2021
80,63.8784,-149.2536,2008,2020
81,65.3968,-148.9348,2011,2014
82,35.1426,-111.7273,2005,2010
83,35.089,-111.762,2005,2010
84,35.4454,-111.7718,2005,2010
85,41.3665,-106.2399,1999,2020
86,42.5378,-72.1715,1991,2024
87,33.3455,-79.1957,2019,2022
88,33.3242,-79.244,2019,2019
89,33.3482,-79.2322,2019,2022
90,46.6889,-119.4641,2015,2018
91,46.6878,-119.4614,2017,2018
92,45.2041,-68.7402,1996,2024
93,45.2091,-68.747,1999,2024
94,40.8608,-77.8488,2015,2018
95,68.6068,-149.2958,2007,2023
96,68.6058,-149.311,2007,2024
97,68.6063,-149.3041,2007,2023
98,32.582,-106.635,2010,2022
99,32.5849,-106.6032,2010,2020
100,39.0561,-95.1907,2007,2019
101,38.7745,-97.5684,2012,2019
102,39.0824,-96.5603,2004,2019
103,28.4583,-80.6709,2002,2003
104,28.6086,-80.6715,1999,2006
105,28.7084,-80.7427,2018,2019
106,36.3566,-119.0922,2009,2010
107,31.5659,-110.1344,2002,2007
108,44.5794,-121.5,2004,2005
109,44.4526,-121.5589,2002,2024
110,44.3154,-121.6078,2004,2009
111,44.3233,-121.6078,2010,2022
112,39.3232,-86.4131,1999,2024
113,39.2298,-92.1167,2015,2023
114,38.9488,-91.9945,2018,2023
115,39.2322,-92.1493,2016,2023
116,38.7441,-92.2,2004,2021
117,34.4385,-106.2377,2008,2024
118,38.0499,-121.765,2010,2023
119,35.8118,-76.7119,2005,2012
120,35.799,-76.656,2013,2021
121,35.7879,-75.9038,2009,2021
122,41.1651,-96.4766,2001,2024
123,71.28,-156.6092,2012,2023
124,64.8618,-163.7002,2017,2023
125,40.0329,-105.5464,1998,2024
126,41.5545,-83.8438,2004,2013
127,27.3836,-81.9509,2016,2022
128,40.0201,-83.0183,2011,2016
129,41.3795,-82.5125,2015,2024
130,45.972,-90.3232,2019,2019
131,45.9677,-90.3088,2019,2019
132,45.9689,-90.301,2019,2019
133,45.9149,-90.3425,2019,2019
134,45.9409,-90.3177,2019,2019
135,45.9207,-90.3099,2019,2019
136,45.9392,-90.2823,2019,2019
137,45.9365,-90.2641,2019,2019
138,45.9271,-90.2475,2019,2019
139,45.9197,-90.2288,2019,2019
140,43.0896,-89.4158,2016,2022
141,36.2347,-119.9247,2016,2017
142,36.8276,-120.1397,2016,2017
143,34.4159,-91.6733,2021,2023
144,39.5782,-121.8579,2021,2023
145,37.6995,-121.1369,2023,2024
146,39.6805,-122.0026,2021,2023
147,33.6216,-91.4306,2022,2023
148,43.1439,-116.7356,2014,2023
149,43.0645,-116.7486,2014,2023
150,44.7143,-93.0898,2004,2016
151,44.7288,-93.0888,2008,2016
152,44.7217,-93.0893,2004,2007
153,44.6781,-93.0723,2014,2024
154,44.691,-93.0576,2017,2024
155,44.6946,-93.0578,2017,2024
156,65.1198,-147.429,2008,2023
157,37.3344,-77.2065,2022,2024
158,43.0653,-116.7591,2003,2007
159,43.1207,-116.7231,2014,2023
160,43.1675,-116.7132,2014,2023
161,34.3623,-106.702,2007,2024
162,34.3349,-106.7442,2007,2024
163,38.0369,-121.7547,2016,2020
164,38.0402,-121.7272,2018,2020
165,29.7381,-82.2188,2000,2020
166,31.9083,-110.8395,2008,2014
167,31.7894,-110.8277,2008,2024
168,31.8214,-110.8661,2004,2024
169,38.2006,-122.0264,2014,2017
170,31.8173,-110.8508,2011,2018
171,40.6658,-77.9041,2016,2021
172,39.0882,-75.4372,2014,2017
173,46.242,-89.3477,2001,2024
174,38.4309,-120.966,2001,2024
175,38.1074,-121.6469,2011,2023
176,38.0969,-121.6365,2012,2013
177,38.1152,-121.6469,2013,2018
178,38.1027,-121.6413,2013,2023
179,38.1072,-121.6426,2018,2020
180,40.7536,-78.0056,2019,2023
181,40.7559,-77.9998,2019,2023
182,45.5686,-84.6707,2013,2014
183,45.5598,-84.7138,2000,2024
184,45.5625,-84.6975,2007,2024
185,40.7848,-113.8299,2021,2024
186,38.4133,-120.9508,2000,2024
187,35.8884,-106.5321,2007,2023
188,35.8642,-106.5967,2007,2024
189,31.7438,-110.0522,2007,2024
190,46.6188,-91.0814,2002,2002
191,46.7305,-91.2329,2003,2003
192,46.6347,-91.0987,2002,2004
193,46.7393,-91.1663,2002,2005
194,46.6531,-91.0858,2004,2004
195,46.6249,-91.2982,2002,2003
196,46.6491,-91.0693,2005,2005
197,46.7223,-91.2524,2002,2002
198,46.7385,-91.0746,2004,2005
199,34.4255,-105.8615,2007,2024
200,31.7365,-109.9419,2004,2024
201,41.4646,-82.9962,2011,2013
202,45.7624,-122.3303,2017,2023
203,35.4106,-99.0588,2017,2023
204,71.2824,-156.6194,2017,2023
205,39.0603,-78.0716,2017,2023
206,65.154,-147.5026,2017,2023
207,44.0639,-71.2873,2017,2023
208,33.4012,-97.57,2017,2023
209,40.8155,-104.7456,2016,2023
210,47.1617,-99.1066,2017,2023
211,63.8811,-145.7514,2017,2023
212,32.5417,-87.8039,2017,2023
213,28.125,-81.4362,2017,2023
214,35.689,-83.5019,2017,2023
215,42.5369,-72.1727,2017,2023
216,63.8757,-149.2133,2017,2023
217,31.1948,-84.4686,2017,2023
218,32.5907,-106.8425,2017,2023
219,39.1104,-96.6129,2017,2023
220,39.1008,-96.5631,2017,2023
221,38.2483,-109.3883,2017,2023
222,37.3783,-80.5248,2017,2023
223,46.7697,-100.9154,2017,2023
224,40.1776,-112.4524,2017,2023
225,40.2759,-105.5459,2017,2023
226,29.6893,-81.9934,2017,2023
227,38.8929,-78.1395,2016,2023
228,38.8901,-76.56,2017,2023
229,37.1088,-119.7323,2018,2023
230,40.4619,-103.0293,2017,2023
231,31.9107,-110.8355,2017,2023
232,45.5089,-89.5864,2017,2023
233,32.9505,-87.3933,2017,2023
234,68.6611,-149.3705,2017,2023
235,45.4937,-89.5857,2017,2023
236,39.0404,-95.1921,2017,2023
237,46.2339,-89.5373,2017,2023
238,47.1282,-99.2414,2017,2023
239,44.9535,-110.5391,2018,2023
240,61.2548,-163.259,2019,2022
