SITE_ID,Latitude,Longitude,Start Year,End Year
US-Mj1,46.9948,-109.6137,2013,2014
US-PFL,45.9409,-90.3177,2019,2019
US-xHA,42.5369,-72.1727,2017,2021
US-Rls,43.1439,-116.7356,2014,2020
US-PSH,36.2347,-119.9247,2016,2017
US-NR4,40.052,-105.5859,2007,2020
US-MH2,45.9699,-108.1978,2016,2016
CA-DBB,49.1293,-122.9849,2014,2020
US-NGC,64.8618,-163.7002,2017,2019
US-LS2,31.5659,-110.1344,2003,2007
US-SRS,31.8173,-110.8508,2011,2018
CA-MA3,50.1774,-97.8686,2009,2011
US-xHE,63.8757,-149.2133,2017,2021
US-xKA,39.1104,-96.6129,2017,2021
US-Dk3,35.9782,-79.0942,2001,2008
US-Fcr,65.3968,-148.9348,2011,2014
US-PFh,45.9557,-90.2406,2019,2019
CA-Cbo,44.3167,-79.9333,2005,2020
US-CS4,44.1597,-89.5475,2020,2020
US-EML,63.8784,-149.2536,2008,2019
US-KM2,42.4441,-85.3098,2009,2020
US-Snd,38.0366,-121.754,2007,2014
US-Vcm,35.8884,-106.5321,2007,2021
US-Bi1,38.0992,-121.4993,2016,2021
US-CF2,46.784,-117.0908,2017,2021
US-DFC,43.3448,-89.7117,2018,2020
US-LL3,31.2688,-84.4787,2009,2017
US-A32,36.8193,-97.8198,2015,2017
US-KL2,42.4768,-85.4468,2009,2020
CA-ARF,52.7008,-83.955,2011,2015
US-Sne,38.0369,-121.7547,2016,2020
US-Bo1,40.0062,-88.2904,1996,2008
US-xKZ,39.1008,-96.5631,2017,2021
US-KM4,42.4423,-85.3301,2009,2020
US-NR3,40.052,-105.5864,2019,2020
US-DPW,28.0521,-81.4361,2013,2017
MX-Aog,26.9968,-108.7892,2016,2018
US-KM3,42.4464,-85.3105,2009,2020
US-xDC,47.1617,-99.1066,2017,2021
US-xDL,32.5417,-87.8039,2017,2021
US-BZS,64.6963,-148.3235,2015,2016
US-PHM,42.7423,-70.8301,2013,2020
US-SdH,42.0693,-101.4072,2004,2009
US-Ha2,42.5393,-72.1779,2004,2014
US-JRn,39.6789,-80.1646,2017,2018
US-KFS,39.0561,-95.1907,2008,2019
US-xSE,38.8901,-76.56,2017,2021
US-Esm,25.4379,-80.5946,2008,2013
